song_name,weeks_on_top_chart
Evergreen (You Didn’t Deserve Me At All),11
Everlong,1
Every Angel is Terrifying,1
Every Breath You Take,25
Every Summertime,10
Everybody Wants To Rule The World,22
Evoque Prata,7
Excuses,10
F2F,1
FEARLESS,5
FOR A NUT (feat. Gunna & Young Thug),1
Face 2 Face,1
Fair Trade (with Travis Scott),6
Fairytale of New York (feat. Kirsty MacColl),2
Falling,10
Falling Back,2
Far,1
Father Time (feat. Sampha),2
Feel My Rhythm,2
Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),1
Feeling Like The End,1
Feliz Cumpleaños Ferxxo,19
Feliz Navidad,5
Ferrari,26
Fim de Semana no Rio,3
Fingers Crossed,16
First Class,28
Flight's Booked,1
Flowers,5
For Youth,2
Forever,4
Forget Me,10
Formula,13
Freaks,23
Freaky Deaky,4
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,6
From The D 2 The LBC (with Snoop Dogg),1
Fuera del mercado,25
GALOPA,1
GATÚBELA,15
GIVENCHY,7
GOD DID (feat. Rick Ross Lil Wayne Jay-Z John Legend & Fridayy),1
GOLD STACKS,1
Gangsta's Paradise,46
Gasoline,3
Gatita,5
Gato de Noche,1
Get Into It (Yuh),16
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,3
Ghost,52
Ghost in the Machine (feat. Phoebe Bridgers),2
Ghostbusters,1
Ginseng Strip 2002,7
Girl Of My Dreams (with SUGA of BTS),1
Glimpse of Us,29
Glitch,2
Godzilla (feat. Juice WRLD),9
Golden,6
Gone Girl,1
Good Days,2
Grapejuice,6
HEATED,1
HENTAI,1
HUMBLE.,1
Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1
Hallelujah,1
Happier Than Ever,48
Happier Than Ever - Edit,5
Happy Xmas (War Is Over) - Remastered 2010,5
Hard to Love,2
Hati-Hati di Jalan,5
Have Yourself A Merry Little Christmas,2
Have Yourself A Merry Little Christmas - Remastered 1999,2
Head & Heart (feat. MNEK),1
Heartbreak Anniversary,3
Heartless,7
Heat Waves,52
Heather,52
Here Comes Santa Claus (Right Down Santa Claus Lane),1
Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,2
Here We Go… Again (feat. Tyler the Creator),2
Here With Me,9
Hey Mor,11
High,2
High Infidelity,3
Hold Me Closer,13
Hold My Hand,10
Hold That Heat (feat. Travis Scott),1
Holly Jolly Christmas,6
Honest (feat. Don Toliver),4
Hope,6
Hot In It,1
Hot Shit (feat. Ye & Lil Durk),2
Hotel,3
Hours In Silence,2
House of Memories,18
How Do I Make You Love Me?,2
How Do I Say Goodbye,12
Hrs & Hrs,6
Hype Boy,13
I AM WOMAN,7
I Ain't Worried,30
I Ain’t Quite Where I Think I Am,1
I Can't Save You (Interlude) [with Future & feat. Don Toliver],1
I Cannot Be (A Sadder Song) (with Gunna),1
I Gotta Feeling,1
I Guess It’s Fuck Me,1
I Hate U,12
I Heard You’re Married (feat. Lil Wayne),1
I Like You (A Happier Song) (with Doja Cat),30
I Love You So,52
I Really Want to Stay at Your House,4
I Saw Mommy Kissing Santa Claus,1
I WANNA BE YOUR SLAVE,8
I Wanna Be Yours,25
I Was Never There,27
I Wish It Could Be Christmas Everyday,1
I'M DAT N****,1
I'M ON ONE (feat. Drake),2
I'M THAT GIRL,1
I'd Do Anything To Make You Smile,1
I'll Be Home for Christmas,1
I'm Good (Blue),18
I'm Not The Only One,15
IDGAF (with blackbear),5
INDUSTRY BABY (feat. Jack Harlow),52
INSUPERABILE,1
In Da Club,12
In My Head,8
In The Stars,18
Infinity,34
Insane,1
Intro,1
Iris,13
Is There Someone Else?,5
It'll Be Okay,9
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),5
It's Beginning to Look a Lot like Christmas,6
It's the Most Wonderful Time of the Year,6
I’m Tired (with Zendaya) - Bonus Track,5
JGL,3
Jimmy Cooks (feat. 21 Savage),28
Jingle Bell Rock,7
Jingle Bell Rock - Daryl's Version,2
Jingle Bells - Remastered 1999,3
Jocelyn Flores,2
Jordan,22
Joy To The World,2
Jumbotron Shit Poppin,1
Just A Cloud Away,2
Just Wanna Rock,10
Just a Cloud Away,1
Just the Way You Are,7
KEEP IT BURNIN (feat. Kanye West),1
KICK BACK,8
KU LO SA - A COLORS SHOW,8
Karma,8
Keep Driving,5
Kesariya,9
Kill Bill,3
Kiss Me More (feat. SZA),41
Knife Talk (with 21 Savage ft. Project Pat),18
LA CANCIÓN,42
LA FAMA,13
LA INOCENTE,23
LET GO,2
LOKERA,20
LOOSE CHANGE,1
LOVE DIVE,9
LOVE YOU BETTER,1
La Bachata,26
La Corriente,31
La Jumpa,4
La Llevo Al Cielo (Ft. Ñengo Flow),21
La Loto,2
La Santa,13
La Zona,6
Labyrinth,5
Last Christmas,7
Last Last,14
Late Night Talking,32
Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again),1
Lavender Haze,10
Layla,4
Leave Before You Love Me (with Jonas Brothers),3
Leave The Door Open,20
Left and Right (Feat. Jung Kook of BTS),27
Lemon Tree,1
Less Than Zero,3
Let It Snow! Let It Snow! Let It Snow!,6
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),5
Levitating,7
Levitating (feat. DaBaby),48
Ley Seca,9
Liability,1
Life Goes On,8
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,9
Light Switch,31
Like It's Christmas,1
Limbo,6
Little Freak,7
Little Saint Nick - 1991 Remix,3
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),40
Lock On Me (with Travis Scott & Future),1
Locked out of Heaven,44
Lost,18
Lost in the Fire (feat. The Weeknd),13
Love Again,1
Love Grows (Where My Rosemary Goes),5
Love Language,2
Love Lost,1
Love Of My Life,7
Love Tonight (Edit),1
Love Yourself,5
Love/Hate Letter To Alcohol (with Fleet Foxes),1
Low,3
Lucid Dreams,15
L’enfer,2
MAMIII,38
MANIAC,5
MASSAGING ME,1
METAMORPHOSIS,2
MIDDLE OF THE NIGHT,52
MONEY,18
MONTERO (Call Me By Your Name),33
MORE,4
MOVE (feat. Grace Jones & Tems),1
Maan Meri Jaan,6
Made You Look,10
Major Distribution,4
Mal Feito - Ao Vivo,14
Malvada,8
Malvadão 3,14
Marisola - Remix,1
Maroon,8
Mary On A Cross,15
Massive,8
Master of Puppets (Remastered),9
Mastermind,6
Matilda,16
Mbappe,1
Me Arrepentí,3
Me Fui de Vacaciones,17
Me Porto Bonito,34
Me and Your Mama,3
Medallo,22
Meet Me At Our Spot,13
Mele Kalikimaka - Single Version,1
Memories,14
Mercedes Tintia,1
Merry Christmas,4
Merry Christmas Everyone,5
Merry Christmas Happy Holidays,2
Metro Spider (with Young Thug),1
Middle of the Ocean,1
Midnight Rain,10
Mirror,1
Miserable Man,1
Miss You,16
Mistletoe,6
Miénteme,3
Mockingbird,11
Molhando o Volante,2
Mon Amour - Remix,30
Money Trees,1
Monotonía,10
Monëy so big,4
Mood (feat. iann dior),18
More M’s,1
Moscow Mule,34
Moth To A Flame (with The Weeknd),18
Mother I Sober (feat. Beth Gibbons of Portishead),1
Mount Everest,13
Mr. Brightside,42
Mr. Morale,1
Mujeriego,13
Murder In My Mind,20
Music For a Sushi Restaurant,13
My Mind & Me,2
My Only Wish (This Year),4
My Universe,48
N95,8
NEW MAGIC WAND,4
NIGHT RIDER,1
Nail Tech,12
Need to Know,31
Nerdesin,3
Never Sleep (with Lil Baby feat. Travis Scott),2
Neverita,34
New Gold (feat. Tame Impala and Bootie Brown),2
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],4
Night Changes,30
No Lie,18
No Ouvidinho,6
No Role Modelz,51
No Se Va - En Vivo,14
Nobody Gets Me,3
Nobody Like U,4
Normal,22
Nos Comemos (feat. Ozuna),6
Nostálgico,15
Not Finished,1
Notice Me,1
Notion,15
Numb,20
Numb Little Bug,14
Nxde,4
OUT OUT (feat. Charli XCX & Saweetie),4
Oh My God,19
Ojitos Lindos,34
Ojos Marrones,14
On BS,4
On Time (with John Legend),2
One Dance,26
One Kiss (with Dua Lipa),30
One More Sleep,1
One Right Now (with The Weeknd),26
Only Love Can Hurt Like This,23
Open Arms (feat. Travis Scott),2
Otro Atardecer,17
Out of Time,5
Overdrive,1
Overpass Graffiti,1
Ovunque Sarai,1
P power (feat. Drake),1
PARA SIEMPRE,1
PLASTIC OFF THE SOFA,1
PLAYA DEL INGLÉS,2
POP!,11
PROVENZA,36
PUFFIN ON ZOOTIEZ,7
PUNTO 40,12
PUNTO G,8
PURE/HONEY,1
Pandora,5
Pantysito,17
Parada Louca,3
Pareja Del Año,1
Paris,4
Paris to Tokyo,1
Party,32
Party en el Barrio (feat. Duki),2
París,2
Pasoori,16
Pass The Dutchie,7
Paulo Londra: Bzrp Music Sessions Vol. 23,5
Payphone,45
Peaches (feat. Daniel Caesar & Giveon),36
Pepas,44
Perfect,52
Permission to Dance,3
Peru,6
Phantom Regret by Jim,1
Photograph,3
Pink Venom,19
Pipoco,8
Plan A,10
Please Come Home for Christmas - 2013 Remaster,2
Poesia Acústica 13,1
Poland,3
Polaroid Love,6
Pop Out (feat. Nardo Wick),1
Pope Is a Rockstar,2
Potion (with Dua Lipa & Young Thug),10
